Trainee_ID,Item,Month,Status,Category,Plan
RT001,0–3個月技術考,01,完成,技術評核,M01–03
RT001,0–3個月技術考,02,完成,技術評核,M01–03
RT001,0–3個月技術考,03,完成,技術評核,M01–03
RT001,4–12個月技術評核,04,完成,技術評核,M04–12
RT001,4–12個月技術評核,05,完成,技術評核,M04–12
RT001,4–12個月技術評核,06,完成,技術評核,M04–12
RT001,4–12個月技術評核,07,完成,技術評核,M04–12
RT001,4–12個月技術評核,08,完成,技術評核,M04–12
RT001,4–12個月技術評核,09,完成,技術評核,M04–12
RT001,4–12個月技術評核,10,完成,技術評核,M04–12
RT001,4–12個月技術評核,11,完成,技術評核,M04–12
RT001,4–12個月技術評核,12,完成,技術評核,M04–12
RT001,13–24個月技術評核,13,完成,技術評核,M13–24
RT001,13–24個月技術評核,14,完成,技術評核,M13–24
RT001,13–24個月技術評核,15,完成,技術評核,M13–24
RT001,13–24個月技術評核,16,完成,技術評核,M13–24
RT001,13–24個月技術評核,17,完成,技術評核,M13–24
RT001,13–24個月技術評核,18,完成,技術評核,M13–24
RT001,13–24個月技術評核,19,完成,技術評核,M13–24
RT001,13–24個月技術評核,20,完成,技術評核,M13–24
RT001,13–24個月技術評核,21,完成,技術評核,M13–24
RT001,13–24個月技術評核,22,完成,技術評核,M13–24
RT001,13–24個月技術評核,23,☐,技術評核,M13–24
RT001,13–24個月技術評核,24,☐,技術評核,M13–24
RT001,Ad-hoc EPA,03,完成,EPA,每2–3個月
RT001,Ad-hoc EPA,06,☐,EPA,每2–3個月
RT001,Ad-hoc EPA,09,☐,EPA,每2–3個月
RT001,Ad-hoc EPA,12,完成,EPA,每2–3個月
RT001,Ad-hoc EPA,15,完成,EPA,每2–3個月
RT001,Ad-hoc EPA,18,完成,EPA,每2–3個月
RT001,Ad-hoc EPA,21,完成,EPA,每2–3個月
RT001,Ad-hoc EPA,24,☐,EPA,每2–3個月
RT001,Mini-CEX,03,完成,評核,每3個月
RT001,Mini-CEX,06,☐,評核,每3個月
RT001,Mini-CEX,09,☐,評核,每3個月
RT001,Mini-CEX,12,完成,評核,每3個月
RT001,Mini-CEX,15,完成,評核,每3個月
RT001,Mini-CEX,18,完成,評核,每3個月
RT001,Mini-CEX,21,完成,評核,每3個月
RT001,Mini-CEX,24,☐,評核,每3個月
RT001,CBD／PBD,03,完成,評核,每3個月
RT001,CBD／PBD,06,☐,評核,每3個月
RT001,CBD／PBD,09,☐,評核,每3個月
RT001,CBD／PBD,12,完成,評核,每3個月
RT001,CBD／PBD,15,完成,評核,每3個月
RT001,CBD／PBD,18,完成,評核,每3個月
RT001,CBD／PBD,21,完成,評核,每3個月
RT001,CBD／PBD,24,☐,評核,每3個月
RT001,IPD／360°,03,完成,評核,每3個月
RT001,IPD／360°,06,☐,評核,每3個月
RT001,IPD／360°,09,☐,評核,每3個月
RT001,IPD／360°,12,完成,評核,每3個月
RT001,IPD／360°,15,完成,評核,每3個月
RT001,IPD／360°,18,完成,評核,每3個月
RT001,IPD／360°,21,完成,評核,每3個月
RT001,IPD／360°,24,☐,評核,每3個月
RT001,CCC能力進度檢視,03,完成,CCC,依院內CCC節點
RT001,CCC能力進度檢視,06,☐,CCC,依院內CCC節點
RT001,CCC能力進度檢視,12,完成,CCC,依院內CCC節點
RT001,CCC能力進度檢視,18,完成,CCC,依院內CCC節點
RT001,CCC能力進度檢視,24,☐,CCC,依院內CCC節點
RT001,每月導師面談,01,完成,導師,每月
RT001,每月導師面談,02,完成,導師,每月
RT001,每月導師面談,03,完成,導師,每月
RT001,每月導師面談,04,完成,導師,每月
RT001,每月導師面談,05,完成,導師,每月
RT001,每月導師面談,06,完成,導師,每月
RT001,每月導師面談,07,完成,導師,每月
RT001,每月導師面談,08,完成,導師,每月
RT001,每月導師面談,09,完成,導師,每月
RT001,每月導師面談,10,完成,導師,每月
RT001,每月導師面談,11,完成,導師,每月
RT001,每月導師面談,12,完成,導師,每月
RT001,每月導師面談,13,完成,導師,每月
RT001,每月導師面談,14,完成,導師,每月
RT001,每月導師面談,15,完成,導師,每月
RT001,每月導師面談,16,完成,導師,每月
RT001,每月導師面談,17,完成,導師,每月
RT001,每月導師面談,18,完成,導師,每月
RT001,每月導師面談,19,完成,導師,每月
RT001,每月導師面談,20,完成,導師,每月
RT001,每月導師面談,21,完成,導師,每月
RT001,每月導師面談,22,完成,導師,每月
RT001,每月導師面談,23,☐,導師,每月
RT001,每月導師面談,24,☐,導師,每月
RT001,結訓前能力盤點,22,完成,Exit,M22–24
RT001,結訓前能力盤點,23,☐,Exit,M22–24
RT001,結訓前能力盤點,24,☐,Exit,M22–24
RT001,Final Assessment／結訓確認,24,☐,Exit,M24
RT002,0–3個月技術考,01,完成,技術評核,M01–03
RT002,0–3個月技術考,02,完成,技術評核,M01–03
RT002,0–3個月技術考,03,完成,技術評核,M01–03
RT002,4–12個月技術評核,04,完成,技術評核,M04–12
RT002,4–12個月技術評核,05,完成,技術評核,M04–12
RT002,4–12個月技術評核,06,完成,技術評核,M04–12
RT002,4–12個月技術評核,07,完成,技術評核,M04–12
RT002,4–12個月技術評核,08,完成,技術評核,M04–12
RT002,4–12個月技術評核,09,完成,技術評核,M04–12
RT002,4–12個月技術評核,10,完成,技術評核,M04–12
RT002,4–12個月技術評核,11,完成,技術評核,M04–12
RT002,4–12個月技術評核,12,完成,技術評核,M04–12
RT002,13–24個月技術評核,13,完成,技術評核,M13–24
RT002,13–24個月技術評核,14,完成,技術評核,M13–24
RT002,13–24個月技術評核,15,完成,技術評核,M13–24
RT002,13–24個月技術評核,16,完成,技術評核,M13–24
RT002,13–24個月技術評核,17,完成,技術評核,M13–24
RT002,13–24個月技術評核,18,完成,技術評核,M13–24
RT002,13–24個月技術評核,19,完成,技術評核,M13–24
RT002,13–24個月技術評核,20,完成,技術評核,M13–24
RT002,13–24個月技術評核,21,☐,技術評核,M13–24
RT002,13–24個月技術評核,22,☐,技術評核,M13–24
RT002,13–24個月技術評核,23,☐,技術評核,M13–24
RT002,13–24個月技術評核,24,☐,技術評核,M13–24
RT002,Ad-hoc EPA,03,完成,EPA,每2–3個月
RT002,Ad-hoc EPA,06,完成,EPA,每2–3個月
RT002,Ad-hoc EPA,09,完成,EPA,每2–3個月
RT002,Ad-hoc EPA,12,完成,EPA,每2–3個月
RT002,Ad-hoc EPA,15,完成,EPA,每2–3個月
RT002,Ad-hoc EPA,18,完成,EPA,每2–3個月
RT002,Ad-hoc EPA,21,☐,EPA,每2–3個月
RT002,Ad-hoc EPA,24,☐,EPA,每2–3個月
RT002,Mini-CEX,03,完成,評核,每3個月
RT002,Mini-CEX,06,完成,評核,每3個月
RT002,Mini-CEX,09,完成,評核,每3個月
RT002,Mini-CEX,12,完成,評核,每3個月
RT002,Mini-CEX,15,完成,評核,每3個月
RT002,Mini-CEX,18,完成,評核,每3個月
RT002,Mini-CEX,21,☐,評核,每3個月
RT002,Mini-CEX,24,☐,評核,每3個月
RT002,CBD／PBD,03,完成,評核,每3個月
RT002,CBD／PBD,06,完成,評核,每3個月
RT002,CBD／PBD,09,完成,評核,每3個月
RT002,CBD／PBD,12,完成,評核,每3個月
RT002,CBD／PBD,15,完成,評核,每3個月
RT002,CBD／PBD,18,完成,評核,每3個月
RT002,CBD／PBD,21,☐,評核,每3個月
RT002,CBD／PBD,24,☐,評核,每3個月
RT002,IPD／360°,03,完成,評核,每3個月
RT002,IPD／360°,06,完成,評核,每3個月
RT002,IPD／360°,09,完成,評核,每3個月
RT002,IPD／360°,12,完成,評核,每3個月
RT002,IPD／360°,15,完成,評核,每3個月
RT002,IPD／360°,18,完成,評核,每3個月
RT002,IPD／360°,21,☐,評核,每3個月
RT002,IPD／360°,24,☐,評核,每3個月
RT002,CCC能力進度檢視,03,完成,CCC,依院內CCC節點
RT002,CCC能力進度檢視,06,完成,CCC,依院內CCC節點
RT002,CCC能力進度檢視,12,完成,CCC,依院內CCC節點
RT002,CCC能力進度檢視,18,完成,CCC,依院內CCC節點
RT002,CCC能力進度檢視,24,☐,CCC,依院內CCC節點
RT002,每月導師面談,01,完成,導師,每月
RT002,每月導師面談,02,完成,導師,每月
RT002,每月導師面談,03,完成,導師,每月
RT002,每月導師面談,04,完成,導師,每月
RT002,每月導師面談,05,完成,導師,每月
RT002,每月導師面談,06,完成,導師,每月
RT002,每月導師面談,07,完成,導師,每月
RT002,每月導師面談,08,完成,導師,每月
RT002,每月導師面談,09,完成,導師,每月
RT002,每月導師面談,10,完成,導師,每月
RT002,每月導師面談,11,完成,導師,每月
RT002,每月導師面談,12,完成,導師,每月
RT002,每月導師面談,13,完成,導師,每月
RT002,每月導師面談,14,完成,導師,每月
RT002,每月導師面談,15,完成,導師,每月
RT002,每月導師面談,16,完成,導師,每月
RT002,每月導師面談,17,完成,導師,每月
RT002,每月導師面談,18,完成,導師,每月
RT002,每月導師面談,19,完成,導師,每月
RT002,每月導師面談,20,完成,導師,每月
RT002,每月導師面談,21,☐,導師,每月
RT002,每月導師面談,22,☐,導師,每月
RT002,每月導師面談,23,☐,導師,每月
RT002,每月導師面談,24,☐,導師,每月
RT002,結訓前能力盤點,22,☐,Exit,M22–24
RT002,結訓前能力盤點,23,☐,Exit,M22–24
RT002,結訓前能力盤點,24,☐,Exit,M22–24
RT002,Final Assessment／結訓確認,24,☐,Exit,M24
RT003,0–3個月技術考,01,完成,技術評核,M01–03
RT003,0–3個月技術考,02,完成,技術評核,M01–03
RT003,0–3個月技術考,03,完成,技術評核,M01–03
RT003,4–12個月技術評核,04,完成,技術評核,M04–12
RT003,4–12個月技術評核,05,完成,技術評核,M04–12
RT003,4–12個月技術評核,06,完成,技術評核,M04–12
RT003,4–12個月技術評核,07,完成,技術評核,M04–12
RT003,4–12個月技術評核,08,完成,技術評核,M04–12
RT003,4–12個月技術評核,09,完成,技術評核,M04–12
RT003,4–12個月技術評核,10,完成,技術評核,M04–12
RT003,4–12個月技術評核,11,☐,技術評核,M04–12
RT003,4–12個月技術評核,12,☐,技術評核,M04–12
RT003,13–24個月技術評核,13,☐,技術評核,M13–24
RT003,13–24個月技術評核,14,☐,技術評核,M13–24
RT003,13–24個月技術評核,15,☐,技術評核,M13–24
RT003,13–24個月技術評核,16,☐,技術評核,M13–24
RT003,13–24個月技術評核,17,☐,技術評核,M13–24
RT003,13–24個月技術評核,18,☐,技術評核,M13–24
RT003,13–24個月技術評核,19,☐,技術評核,M13–24
RT003,13–24個月技術評核,20,☐,技術評核,M13–24
RT003,13–24個月技術評核,21,☐,技術評核,M13–24
RT003,13–24個月技術評核,22,☐,技術評核,M13–24
RT003,13–24個月技術評核,23,☐,技術評核,M13–24
RT003,13–24個月技術評核,24,☐,技術評核,M13–24
RT003,Ad-hoc EPA,03,☐,EPA,每2–3個月
RT003,Ad-hoc EPA,06,完成,EPA,每2–3個月
RT003,Ad-hoc EPA,09,完成,EPA,每2–3個月
RT003,Ad-hoc EPA,12,☐,EPA,每2–3個月
RT003,Ad-hoc EPA,15,☐,EPA,每2–3個月
RT003,Ad-hoc EPA,18,☐,EPA,每2–3個月
RT003,Ad-hoc EPA,21,☐,EPA,每2–3個月
RT003,Ad-hoc EPA,24,☐,EPA,每2–3個月
RT003,Mini-CEX,03,☐,評核,每3個月
RT003,Mini-CEX,06,完成,評核,每3個月
RT003,Mini-CEX,09,完成,評核,每3個月
RT003,Mini-CEX,12,☐,評核,每3個月
RT003,Mini-CEX,15,☐,評核,每3個月
RT003,Mini-CEX,18,☐,評核,每3個月
RT003,Mini-CEX,21,☐,評核,每3個月
RT003,Mini-CEX,24,☐,評核,每3個月
RT003,CBD／PBD,03,☐,評核,每3個月
RT003,CBD／PBD,06,完成,評核,每3個月
RT003,CBD／PBD,09,完成,評核,每3個月
RT003,CBD／PBD,12,☐,評核,每3個月
RT003,CBD／PBD,15,☐,評核,每3個月
RT003,CBD／PBD,18,☐,評核,每3個月
RT003,CBD／PBD,21,☐,評核,每3個月
RT003,CBD／PBD,24,☐,評核,每3個月
RT003,IPD／360°,03,☐,評核,每3個月
RT003,IPD／360°,06,完成,評核,每3個月
RT003,IPD／360°,09,完成,評核,每3個月
RT003,IPD／360°,12,☐,評核,每3個月
RT003,IPD／360°,15,☐,評核,每3個月
RT003,IPD／360°,18,☐,評核,每3個月
RT003,IPD／360°,21,☐,評核,每3個月
RT003,IPD／360°,24,☐,評核,每3個月
RT003,CCC能力進度檢視,03,☐,CCC,依院內CCC節點
RT003,CCC能力進度檢視,06,完成,CCC,依院內CCC節點
RT003,CCC能力進度檢視,12,☐,CCC,依院內CCC節點
RT003,CCC能力進度檢視,18,☐,CCC,依院內CCC節點
RT003,CCC能力進度檢視,24,☐,CCC,依院內CCC節點
RT003,每月導師面談,01,完成,導師,每月
RT003,每月導師面談,02,完成,導師,每月
RT003,每月導師面談,03,完成,導師,每月
RT003,每月導師面談,04,完成,導師,每月
RT003,每月導師面談,05,完成,導師,每月
RT003,每月導師面談,06,完成,導師,每月
RT003,每月導師面談,07,完成,導師,每月
RT003,每月導師面談,08,完成,導師,每月
RT003,每月導師面談,09,完成,導師,每月
RT003,每月導師面談,10,完成,導師,每月
RT003,每月導師面談,11,☐,導師,每月
RT003,每月導師面談,12,☐,導師,每月
RT003,每月導師面談,13,☐,導師,每月
RT003,每月導師面談,14,☐,導師,每月
RT003,每月導師面談,15,☐,導師,每月
RT003,每月導師面談,16,☐,導師,每月
RT003,每月導師面談,17,☐,導師,每月
RT003,每月導師面談,18,☐,導師,每月
RT003,每月導師面談,19,☐,導師,每月
RT003,每月導師面談,20,☐,導師,每月
RT003,每月導師面談,21,☐,導師,每月
RT003,每月導師面談,22,☐,導師,每月
RT003,每月導師面談,23,☐,導師,每月
RT003,每月導師面談,24,☐,導師,每月
RT003,結訓前能力盤點,22,☐,Exit,M22–24
RT003,結訓前能力盤點,23,☐,Exit,M22–24
RT003,結訓前能力盤點,24,☐,Exit,M22–24
RT003,Final Assessment／結訓確認,24,☐,Exit,M24
RT004,0–3個月技術考,01,完成,技術評核,M01–03
RT004,0–3個月技術考,02,完成,技術評核,M01–03
RT004,0–3個月技術考,03,完成,技術評核,M01–03
RT004,4–12個月技術評核,04,完成,技術評核,M04–12
RT004,4–12個月技術評核,05,完成,技術評核,M04–12
RT004,4–12個月技術評核,06,完成,技術評核,M04–12
RT004,4–12個月技術評核,07,完成,技術評核,M04–12
RT004,4–12個月技術評核,08,完成,技術評核,M04–12
RT004,4–12個月技術評核,09,完成,技術評核,M04–12
RT004,4–12個月技術評核,10,☐,技術評核,M04–12
RT004,4–12個月技術評核,11,☐,技術評核,M04–12
RT004,4–12個月技術評核,12,☐,技術評核,M04–12
RT004,13–24個月技術評核,13,☐,技術評核,M13–24
RT004,13–24個月技術評核,14,☐,技術評核,M13–24
RT004,13–24個月技術評核,15,☐,技術評核,M13–24
RT004,13–24個月技術評核,16,☐,技術評核,M13–24
RT004,13–24個月技術評核,17,☐,技術評核,M13–24
RT004,13–24個月技術評核,18,☐,技術評核,M13–24
RT004,13–24個月技術評核,19,☐,技術評核,M13–24
RT004,13–24個月技術評核,20,☐,技術評核,M13–24
RT004,13–24個月技術評核,21,☐,技術評核,M13–24
RT004,13–24個月技術評核,22,☐,技術評核,M13–24
RT004,13–24個月技術評核,23,☐,技術評核,M13–24
RT004,13–24個月技術評核,24,☐,技術評核,M13–24
RT004,Ad-hoc EPA,03,完成,EPA,每2–3個月
RT004,Ad-hoc EPA,06,完成,EPA,每2–3個月
RT004,Ad-hoc EPA,09,☐,EPA,每2–3個月
RT004,Ad-hoc EPA,12,☐,EPA,每2–3個月
RT004,Ad-hoc EPA,15,☐,EPA,每2–3個月
RT004,Ad-hoc EPA,18,☐,EPA,每2–3個月
RT004,Ad-hoc EPA,21,☐,EPA,每2–3個月
RT004,Ad-hoc EPA,24,☐,EPA,每2–3個月
RT004,Mini-CEX,03,完成,評核,每3個月
RT004,Mini-CEX,06,完成,評核,每3個月
RT004,Mini-CEX,09,☐,評核,每3個月
RT004,Mini-CEX,12,☐,評核,每3個月
RT004,Mini-CEX,15,☐,評核,每3個月
RT004,Mini-CEX,18,☐,評核,每3個月
RT004,Mini-CEX,21,☐,評核,每3個月
RT004,Mini-CEX,24,☐,評核,每3個月
RT004,CBD／PBD,03,完成,評核,每3個月
RT004,CBD／PBD,06,完成,評核,每3個月
RT004,CBD／PBD,09,☐,評核,每3個月
