Trainee_ID,Priority,Month,Item,Message
RT001,提醒,M23,手術前後呼吸照護,M23 尚未完成：手術前後呼吸照護
RT001,提醒,M23,COPD呼吸照護,M23 尚未完成：COPD呼吸照護
RT001,提醒,M23,ARDS呼吸照護,M23 尚未完成：ARDS呼吸照護
RT001,提醒,M23,VAP呼吸照護,M23 尚未完成：VAP呼吸照護
RT001,提醒,M23,呼吸功能改善,M23 尚未完成：呼吸功能改善
RT001,提醒,M23,HFOV臨床應用,M23 尚未完成：HFOV臨床應用
RT001,提醒,M23,iNO臨床應用,M23 尚未完成：iNO臨床應用
RT001,提醒,M23,Prone Position Ventilation,M23 尚未完成：Prone Position Ventilation
RT001,提醒,M23,Lung Recruitment Management,M23 尚未完成：Lung Recruitment Management
RT001,提醒,M23,13–24個月技術評核,M23 尚未完成：13–24個月技術評核
RT001,提醒,M23,每月導師面談,M23 尚未完成：每月導師面談
RT001,提醒,M23,結訓前能力盤點,M23 尚未完成：結訓前能力盤點
RT002,提醒,M22,手術前後呼吸照護,M22 尚未完成：手術前後呼吸照護
RT002,提醒,M22,COPD呼吸照護,M22 尚未完成：COPD呼吸照護
RT002,提醒,M22,ARDS呼吸照護,M22 尚未完成：ARDS呼吸照護
RT002,提醒,M22,VAP呼吸照護,M22 尚未完成：VAP呼吸照護
RT002,提醒,M22,呼吸功能改善,M22 尚未完成：呼吸功能改善
RT002,提醒,M22,HFOV臨床應用,M22 尚未完成：HFOV臨床應用
RT002,提醒,M22,iNO臨床應用,M22 尚未完成：iNO臨床應用
RT002,提醒,M22,Prone Position Ventilation,M22 尚未完成：Prone Position Ventilation
RT002,提醒,M22,Lung Recruitment Management,M22 尚未完成：Lung Recruitment Management
RT002,提醒,M22,13–24個月技術評核,M22 尚未完成：13–24個月技術評核
RT002,提醒,M22,每月導師面談,M22 尚未完成：每月導師面談
RT002,提醒,M22,結訓前能力盤點,M22 尚未完成：結訓前能力盤點
RT003,提醒,M11,臨床成人呼吸生理學,M11 尚未完成：臨床成人呼吸生理學
RT003,提醒,M11,胸腔常見疾病介紹,M11 尚未完成：胸腔常見疾病介紹
RT003,提醒,M11,小兒氣道照護,M11 尚未完成：小兒氣道照護
RT003,提醒,M11,呼吸器分類／操作／脫離（含ATC）,M11 尚未完成：呼吸器分類／操作／脫離（含ATC）
RT003,提醒,M11,健保相關事宜,M11 尚未完成：健保相關事宜
RT003,提醒,M11,4–12個月技術評核,M11 尚未完成：4–12個月技術評核
RT003,提醒,M11,每月導師面談,M11 尚未完成：每月導師面談
RT004,提醒,M11,臨床成人呼吸生理學,M11 尚未完成：臨床成人呼吸生理學
RT004,提醒,M11,胸腔常見疾病介紹,M11 尚未完成：胸腔常見疾病介紹
RT004,提醒,M11,小兒氣道照護,M11 尚未完成：小兒氣道照護
RT004,提醒,M11,呼吸器分類／操作／脫離（含ATC）,M11 尚未完成：呼吸器分類／操作／脫離（含ATC）
RT004,提醒,M11,健保相關事宜,M11 尚未完成：健保相關事宜
RT004,提醒,M11,4–12個月技術評核,M11 尚未完成：4–12個月技術評核
RT004,提醒,M11,每月導師面談,M11 尚未完成：每月導師面談
RT005,提醒,M07,臨床成人呼吸生理學,M07 尚未完成：臨床成人呼吸生理學
RT005,提醒,M07,胸腔常見疾病介紹,M07 尚未完成：胸腔常見疾病介紹
RT005,提醒,M07,小兒氣道照護,M07 尚未完成：小兒氣道照護
RT005,提醒,M07,呼吸器分類／操作／脫離（含ATC）,M07 尚未完成：呼吸器分類／操作／脫離（含ATC）
RT005,提醒,M07,健保相關事宜,M07 尚未完成：健保相關事宜
RT005,提醒,M07,4–12個月技術評核,M07 尚未完成：4–12個月技術評核
RT005,提醒,M07,每月導師面談,M07 尚未完成：每月導師面談
RT006,提醒,M04,臨床成人呼吸生理學,M04 尚未完成：臨床成人呼吸生理學
RT006,提醒,M04,胸腔常見疾病介紹,M04 尚未完成：胸腔常見疾病介紹
RT006,提醒,M04,小兒氣道照護,M04 尚未完成：小兒氣道照護
RT006,提醒,M04,呼吸器分類／操作／脫離（含ATC）,M04 尚未完成：呼吸器分類／操作／脫離（含ATC）
RT006,提醒,M04,健保相關事宜,M04 尚未完成：健保相關事宜
RT006,提醒,M04,4–12個月技術評核,M04 尚未完成：4–12個月技術評核
RT006,提醒,M04,每月導師面談,M04 尚未完成：每月導師面談
